     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed;3.inputFlow; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed;6.inputFlow; 6.speed;6.connections.7;6.connections.8;7.inputFlow; 7.speed;8.inputFlow; 8.speed
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.90000;    0.31517;           0.33272; 0.33272;    0.03979; 0.93579;           ; 0.44662;    0.56906; 0.96598;    0.09763; 1.24999;           ; 0.59003;        0.40000;        0.60000;           ; 1.82098;           ; 1.09536
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.91000;    0.31272;           0.32696; 0.32696;    0.03243; 0.93723;           ; 0.46871;    0.55557; 0.91163;    0.06366; 1.31465;           ; 0.56694;        0.40000;        0.60000;           ; 1.75178;           ; 1.26033
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.92000;    0.31012;           0.32138; 0.32138;    0.02577; 0.93743;           ; 0.49329;    0.53793; 0.85670;    0.03633; 1.37157;           ; 0.56361;        0.40000;        0.60000;           ; 1.65841;           ; 1.43251
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.93000;    0.30739;           0.31598; 0.31598;    0.01983; 0.93640;           ; 0.52016;    0.51640; 0.80206;    0.01631; 1.41933;           ; 0.58017;        0.40000;        0.60000;           ; 1.54537;           ; 1.60108
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.94000;    0.30451;           0.31075; 0.31075;    0.01463; 0.93415;           ; 0.54906;    0.49133; 0.74857;    0.00410; 1.45677;           ; 0.61603;        0.40000;        0.60000;           ; 1.41810;           ; 1.75544
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.95000;    0.30150;           0.30571; 0.30571;    0.01020; 0.93067;           ; 0.57975;    0.46310; 0.69707;    0.00000; 1.48296;           ; 0.66993;        0.40000;        0.60000;           ; 1.28274;           ; 1.88590
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.96000;    0.29836;           0.30087; 0.30087;    0.00655; 0.92599;           ; 0.61195;    0.43218; 0.64838;    0.00410; 1.49726;           ; 0.73994;        0.40000;        0.60000;           ; 1.14580;           ; 1.98426
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.97000;    0.29509;           0.29622; 0.29622;    0.00369; 0.92012;           ; 0.64538;    0.39904; 0.60326;    0.01631; 1.49932;           ; 0.82360;        0.40000;        0.60000;           ; 1.01387;           ; 2.04433
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.98000;    0.29169;           0.29177; 0.29177;    0.00164; 0.91308;           ; 0.67973;    0.36420; 0.56243;    0.03633; 1.48908;           ; 0.91793;        0.40000;        0.60000;           ; 0.89333;           ; 2.06235
        ;                ;                ;                ;                ;                ;                ;                ;                ;26.99000;    0.28816;           0.28753; 0.28753;    0.00041; 0.90491;           ; 0.71471;    0.32822; 0.52653;    0.06366; 1.46679;           ; 1.01960;        0.40000;        0.60000;           ; 0.78996;           ; 2.03718
