     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed; 6.speed;6.connections.7;6.connections.8; 7.speed; 8.speed
 0.15000;         0.32518;         0.33079;         0.10305;         0.01428;         0.33333;         0.73165;         0.66158;         0.18893; 0.30000;    0.19274;           0.72839; 0.72839;    0.27271; 0.39277; 0.63412;    0.46310; 1.31011;    0.56904; 0.75001; 0.79437;        0.40000;        0.60000; 1.86134; 1.23207
 0.16000;         0.32672;         0.31996;         0.08467;         0.02776;         0.38548;         0.74704;         0.58214;         0.10518; 0.32000;    0.20302;           0.72155; 0.72155;    0.29704; 0.36839; 0.70300;    0.51640; 1.28507;    0.63033; 0.62843; 0.98511;        0.40000;        0.60000; 1.85849; 0.92578
 0.17000;         0.32810;         0.30870;         0.06776;         0.04540;         0.43634;         0.74926;         0.49474;         0.04362; 0.34000;    0.21317;           0.71384; 0.71384;    0.31996; 0.34806; 0.77355;    0.55557; 1.23426;    0.66256; 0.54323; 1.19550;        0.40000;        0.60000; 1.73982; 0.73062
 0.18000;         0.32932;         0.29704;         0.05246;         0.06693;         0.48466;         0.73822;         0.40358;         0.00812; 0.36000;    0.22312;           0.70529; 0.70529;    0.34113; 0.33210; 0.84326;    0.57817; 1.16089;    0.66256; 0.50274; 1.39599;        0.40000;        0.60000; 1.52792; 0.69487
 0.19000;         0.33038;         0.28503;         0.03892;         0.09201;         0.52926;         0.71431;         0.31305;         0.00090; 0.38000;    0.23286;           0.69592; 0.69592;    0.36020; 0.32076; 0.90967;    0.58276; 1.06954;    0.63033; 0.51092; 1.55841;        0.40000;        0.60000; 1.26312; 0.82738
 0.20000;         0.33128;         0.27271;         0.02725;         0.12023;         0.56904;         0.67838;         0.22750;         0.02243; 0.40000;    0.24233;           0.68579; 0.68579;    0.37688; 0.31421; 0.97042;    0.56906; 0.96598;    0.56904; 0.56698; 1.65997;        0.40000;        0.60000; 0.99581; 1.09536
 0.21000;         0.33202;         0.26014;         0.01756;         0.15115;         0.60301;         0.63171;         0.15107;         0.07135; 0.42000;    0.25151;           0.67492; 0.67492;    0.39090; 0.31257; 1.02336;    0.53793; 0.85670;    0.48466; 0.66543; 1.68639;        0.40000;        0.60000; 0.77690; 1.43251
 0.22000;         0.33259;         0.24737;         0.00993;         0.18430;         0.63033;         0.57594;         0.08744;         0.14458; 0.44000;    0.26035;           0.66336; 0.66336;    0.40204; 0.31585; 1.06662;    0.49133; 0.74857;    0.38548; 0.79662; 1.63397;        0.40000;        0.60000; 0.64803; 1.75544
 0.23000;         0.33300;         0.23444;         0.00443;         0.21913;         0.65035;         0.51305;         0.03966;         0.23753; 0.46000;    0.26882;           0.65115; 0.65115;    0.41012; 0.32401; 1.09867;    0.43218; 0.64838;    0.28119; 0.94773; 1.51006;        0.40000;        0.60000; 0.63375; 1.98426
 0.24000;         0.33325;         0.22141;         0.00111;         0.25511;         0.66256;         0.44527;         0.01003;         0.34435; 0.48000;    0.27689;           0.63835; 0.63835;    0.41502; 0.33692; 1.11836;    0.36420; 0.56243;    0.18200; 1.10395; 1.33207;        0.40000;        0.60000; 0.73677; 2.06235
 0.25000;         0.33333;         0.20833;         0.00000;         0.29167;         0.66667;         0.37500;         0.00000;         0.45833; 0.50000;    0.28452;           0.62500; 0.62500;    0.41667; 0.35437; 1.12500;    0.29167; 0.49612;    0.09763; 1.24999; 1.12500;        0.40000;        0.60000; 0.93748; 1.97040
 0.26000;         0.33325;         0.19525;         0.00111;         0.32822;         0.66256;         0.30473;         0.01003;         0.57232; 0.52000;    0.29169;           0.61116; 0.61116;    0.41502; 0.37608; 1.11836;    0.21913; 0.45362;    0.03633; 1.37157; 0.91793;        0.40000;        0.60000; 1.19768; 1.73116
 0.27000;         0.33300;         0.18222;         0.00443;         0.36420;         0.65035;         0.23695;         0.03966;         0.67914; 0.54000;    0.29836;           0.59688; 0.59688;    0.41012; 0.40173; 1.09867;    0.15115; 0.43760;    0.00410; 1.45677; 0.73994;        0.40000;        0.60000; 1.46783; 1.40380
 0.28000;         0.33259;         0.16930;         0.00993;         0.39904;         0.63033;         0.17406;         0.08744;         0.77208; 0.56000;    0.30451;           0.58222; 0.58222;    0.40204; 0.43089; 1.06662;    0.09201; 0.44906;    0.00410; 1.49726; 0.61603;        0.40000;        0.60000; 1.69653; 1.06933
